Ingredient,Volume,Mass grams (g)
00' Pizza flour,1 cup,116
All-Purpose flour,1 cup,120
Almond flour,1 cup,96
Amaranth flour,1 cup,103
Barley flour,1 cup,85
Bread flour,1 cup,120
Brown rice flour,1 cup,128
Buckwheat flour,1 cup,120
Chickpea flour,1 cup,85
Coconut flour,1 cup,128
"Corn flour, Masa Harina",1 cup,93
Durum flour,1 cup,124
Gluten-Free '00' Pizza flour,1 cup,100
Gluten-Free All-Purpose flour,1 cup,156
Gluten-Free Bread flour,1 cup,120
Gluten-Free Measure for Measure flour,1 cup,120
Glutinous rice flour,1 cup,120
Hazelnut flour,1 cup,89
High-Gluten flour,1 cup,120
Oat flour,1 cup,92
Pastry flour,1 cup,106
Potato flour,1/4 cup,46
Pumpernickel flour,1 cup,106
Quinoa flour,1 cup,110
Rye flour,1 cup,110
Self-rising flour,1 cup,113
Semolina flour,1 cup,163
Sorghum flour,1 cup,138
Soy flour,1/4 cup,35
Spelt flour,1 cup,99
Tapioca starch or flour,1 cup,113
Unbleached cake flour,1 cup,120
White Rye flour,1 cup,106
White whole wheat flour,1 cup,113
Whole grain flour,1 cup,113
Whole wheat flour,1 cup,113
Whole wheat pastry flour,1 cup,96
,,
Ingredient,Volume,Mass grams (g)
Agave syrup,1/4 cup,84
Honey,1 tablespoon,21
Maple syrup,1/2 cup,156
Molasses,1/4 cup,85
"Sugar, Brown, packed",1 cup,213
"Sugar, Coconut, granulated",1/2 cup,77
"Sugar, Confectioners', unsifted",2 cups,227
"Sugar, Demerara, raw",1 cup,220
"Sugar, Golden, raw",1 cup,235
"Sugar, Maple",1 cup,160
"Sugar, Turbinado, raw",1 cup,180
"Sugar, White, granulated",1 cup,198
,,
Ingredient,Volume,Mass grams (g)
Almond butter,1/4 cup,68
Almond meal,1 cup,84
Almond paste,1 cup,259
"Almonds, sliced",1/2 cup,43
"Almonds, slivered",1/2 cup,57
"Almonds, whole, unblanched",1 cup,142
"Apple juice, concentrate",1/4 cup,70
"Apples, dried, diced",1 cup,85
"Apples, peeled, sliced",1 cup,113
Applesauce,1 cup,255
